upc,dynamic_profit,myopic_profit,vdo_contribution,alpha,capacity,washout_horizon
3800000127,400.6117914953914,400.6117914953914,0.0,2.8,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.8,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.8,1,12
1600066510,772.669194251958,772.669194251958,0.0,2.85,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.85,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.85,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,2.85,1,12
3800000120,673.2528847061394,673.2528630926898,2.1613449575852428e-05,2.85,1,12
3800000127,407.61673559643816,407.61673559643816,0.0,2.85,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.85,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.85,1,12
1600066510,787.130932366396,787.130932366396,0.0,2.9,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.9,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.9,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,2.9,1,12
3800000120,688.1907725633035,688.1907500333822,2.252992135254317e-05,2.9,1,12
3800000127,414.62167969748475,414.62167969748475,0.0,2.9,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.9,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.9,1,12
1600066510,801.5926704808345,801.5926704808345,0.0,2.95,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.95,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.95,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,2.95,1,12
3800000120,703.128660420468,703.1286369740748,2.344639324292075e-05,2.95,1,12
3800000127,421.6266237985315,421.6266237985315,0.0,2.95,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.95,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.95,1,12
1600066510,808.378956999841,816.0544085952728,-7.675451595431809,3.0,1,12
1600066590,552.4429504274352,531.9719934097901,20.470957017645105,3.0,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,3.0,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,3.0,1,12
3800000120,733.0683089188951,718.0665239147671,15.00178500412801,3.0,1,12
3800000127,401.1065841638411,428.6315678995782,-27.524983735737123,3.0,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,3.0,1,12
3800001611,420.799896737785,420.799896737785,0.0,3.0,1,12
1600066510,822.5036828708448,830.516146709711,-8.01246383886621,3.05,1,12
1600066590,555.0784805970275,559.0808829303697,-4.002402333342275,3.05,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,3.05,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,3.05,1,12
3800000120,748.5537723754937,733.0044108554595,15.549361520034267,3.05,1,12
3800000127,406.39016165174934,407.1299318131478,-0.7397701613984395,3.05,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,3.05,1,12
3800001611,420.799896737785,420.799896737785,0.0,3.05,1,12
1600066510,836.628408741849,844.9778848241496,-8.349476082300612,3.1,1,12
1600066590,557.7140107666196,562.0356484306303,-4.321637664010723,3.1,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,3.1,1,12
3800000110,202.62012967797958,202.62012967797958,0.0,3.1,1,12
3800000120,764.0392358320927,747.942297796152,16.09693803594064,3.1,1,12
3800000127,411.67373913965764,412.4586733635872,-0.7849342239295538,3.1,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,3.1,1,12
3800001611,420.799896737785,420.799896737785,0.0,3.1,1,12
1600066510,850.7531346128528,859.4396229385876,-8.686488325734786,3.15,1,12
