grid_name,weekly_capacity,alpha,policy,upc,product_name,value,promotion_count,total_depth,schedule_supported
supported,1,2.05,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,2.05,myopic,3800000110,3800000110,120.42860980621973,4,0.36,True
supported,1,2.1,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.1,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.1,dynamic,3800000120,3800000120,300.43439398066204,4,2.2,True
supported,1,2.1,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,2.1,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,2.1,dynamic,1600066510,1600066510,330.54779294395433,4,2.0,True
supported,1,2.1,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,2.1,dynamic,3800000110,3800000110,121.03975907444955,4,0.36,True
supported,1,2.1,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.1,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.1,myopic,3800000120,3800000120,300.43439398066204,4,2.2,True
supported,1,2.1,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,2.1,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,2.1,myopic,1600066510,1600066510,328.52415999794005,4,2.0,True
supported,1,2.1,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,2.1,myopic,3800000110,3800000110,121.44112933699289,4,0.36,True
supported,1,2.15,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.15,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.15,dynamic,3800000120,3800000120,315.2303076559703,4,2.2,True
supported,1,2.15,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,2.15,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,2.15,dynamic,1600066510,1600066510,344.6099250548679,4,2.0,True
supported,1,2.15,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,2.15,dynamic,3800000110,3800000110,122.05736663758755,4,0.36,True
supported,1,2.15,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.15,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.15,myopic,3800000120,3800000120,315.2303076559703,4,2.2,True
supported,1,2.15,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,2.15,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,2.15,myopic,1600066510,1600066510,342.6569561109542,4,2.0,True
supported,1,2.15,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,2.15,myopic,3800000110,3800000110,122.45364886776605,4,0.36,True
supported,1,2.2,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.2,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.2,dynamic,3800000120,3800000120,330.0262213312786,4,2.2,True
supported,1,2.2,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,2.2,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,2.2,dynamic,1600066510,1600066510,358.6720571657816,4,2.0,True
supported,1,2.2,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,2.2,dynamic,3800000110,3800000110,123.07497420072556,4,0.36,True
supported,1,2.2,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.2,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.2,myopic,3800000120,3800000120,330.0262213312786,4,2.2,True
supported,1,2.2,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,2.2,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,2.2,myopic,1600066510,1600066510,356.78975222396843,4,2.0,True
supported,1,2.2,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,2.2,myopic,3800000110,3800000110,123.46616839853921,4,0.36,True
supported,1,2.24,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.24,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.24,dynamic,3800000120,3800000120,341.8629522715252,4,2.2,True
supported,1,2.24,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,2.24,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,2.24,dynamic,1600066510,1600066510,369.92176285451245,4,2.0,True
supported,1,2.24,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,2.24,dynamic,3800000110,3800000110,123.88906025123597,4,0.36,True
supported,1,2.24,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,2.24,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,2.24,myopic,3800000120,3800000120,341.8629522715252,4,2.2,True
