grid_name,weekly_capacity,alpha,value_of_dynamic_optimization,relative_VDO,dynamic_active_product_set,myopic_active_product_set,active_set_changed,active_set_symmetric_difference,product_promotion_count_disagreement,product_week_timing_disagreement,dynamic_binding_weeks,myopic_binding_weeks,dynamic_supported_share,myopic_supported_share,decision_horizon,washout_horizon,evaluation_horizon
empirical_w6,3,2.95,0.6424690197559357,0.00017970616877927676,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,6,8,8,1.0,1.0,12,6,18
empirical_w6,3,3.0,0.6731614478680967,0.0001844548419263319,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,6,8,8,1.0,1.0,12,6,18
empirical_w6,3,3.05,0.7063077848752073,0.0001896728501558035,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,4,8,8,1.0,1.0,12,6,18
empirical_w6,3,3.1,0.7404282358488672,0.00019494302256721358,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,4,8,8,1.0,1.0,12,6,18
empirical_w6,3,3.15,0.7745486868225271,0.0002000108100293295,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,4,8,8,1.0,1.0,12,6,18
empirical_w6,3,3.2,0.8086691377957322,0.0002048876508827286,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001520|3800001611,False,0,0,4,8,8,1.0,1.0,12,6,18
empirical_w6,8,1.2,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.25,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.3,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.35,0.0,0.0,,,False,0,0,0,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.4,3.409399122715058,0.0013222224581306483,,3800000110,True,1,4,4,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.45,2.386677948196848,0.0009252269734126554,,3800000110,True,1,4,4,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.5,1.3639567736786375,0.000528546158538394,,3800000110,True,1,4,4,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.55,0.39845136940448356,0.00015434250854365995,3800000110,3800000110,False,0,3,5,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.6,0.14697514088948083,5.6909150293186005e-05,3800000110,3800000110,False,0,0,8,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.65,0.20357005218693303,7.87900795364768e-05,3800000110|3800000120,3800000110|3800000120,False,0,1,15,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.7,0.17252961134954603,6.642327993170965e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,12,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.75,0.14686420182306392,5.619992540901018e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,10,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.8,0.12760236565236482,4.853528077357635e-05,3800000110|3800000120,3800000110|3800000120,False,0,0,10,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.85,7.421839413402722,0.002813884424141465,3800000110|3800000120,1600066510|3800000110|3800000120,True,1,4,14,0,0,1.0,0.6666666666666666,12,6,18
empirical_w6,8,1.9,1.3866773424142593,0.0005214046945252374,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,3,13,0,0,1.0,1.0,12,6,18
empirical_w6,8,1.95,0.4171713185310182,0.00015510963860694313,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,14,0,0,1.0,1.0,12,6,18
empirical_w6,8,2.0,0.3929309813170221,0.00014448393544136726,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,14,0,0,1.0,1.0,12,6,18
empirical_w6,8,2.05,0.3782460125275975,0.00013756549794295887,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,12,0,0,1.0,1.0,12,6,18
empirical_w6,8,2.1,0.3912902498245785,0.00014077250871408103,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,12,0,0,1.0,1.0,12,6,18
empirical_w6,8,2.15,6.334268366654669,0.0022592651035349158,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120|3800000127,True,1,4,16,0,0,1.0,1.0,12,6,18
empirical_w6,8,2.2,0.5571818553999037,0.00019612389120659488,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,20,0,0,1.0,1.0,12,6,18
empirical_w6,8,2.24,0.557087536151812,0.00019405336187773296,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,18,0,0,1.0,1.0,12,6,18
empirical_w6,8,2.25,0.5583677818372053,0.0001939954267872153,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,18,0,0,1.0,1.0,12,6,18
empirical_w6,8,2.3,0.5731677811149893,0.00019659089204346195,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,0,0,1.0,1.0,12,6,18
empirical_w6,8,2.35,0.5995091668360146,0.0002030294134885057,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,0,0,1.0,1.0,12,6,18
