alpha,method,schedule_id,mean_profit,p10_profit,worst_profit,mean_regret,p90_regret,maximum_regret,promotion_count,total_discount_depth,first_promotion_week,oracle_promotion_share
2.245,persistent_dro,3,210.17587948975563,208.61988573074345,207.0361256980896,2.2638094455301796,6.685979713201575,11.597903175353991,1,0.3,12.0,0.8600000000000001
2.25,myopic,3168,209.89897471908478,201.7680015563965,188.79306411743164,2.8423444802500306,7.722229957580588,20.086956024169922,4,1.2,1.0,0.88
2.25,nominal_dynamic,1578,210.9814141072368,203.39602184295654,192.36495208740234,1.7599050920980517,5.6059017181396555,16.51506805419922,4,1.2,2.0,0.88
2.25,persistent_dro,3,210.28819333314897,208.72261142730716,207.1290922164917,2.4531258661858732,7.058179378509585,11.996237754821777,1,0.3,12.0,0.88
2.255,myopic,3168,210.36053394136974,202.19360626220706,189.18074081420897,2.6924080698577093,7.345910186767604,19.69927932739259,4,1.2,1.0,0.905
2.255,nominal_dynamic,2820,211.44000853955993,203.79878410339356,192.6819362258911,1.6129334716675223,5.242188177108776,16.19808391571047,4,1.2,1.0,0.905
2.255,persistent_dro,3,210.40050717654225,208.82533712387087,207.2220587348938,2.6524348346851725,7.442873315811218,12.394572334289563,1,0.3,12.0,0.905
2.26,myopic,3168,210.82209316365467,202.61921096801757,189.5684175109863,2.5522166622566735,6.925374870300352,19.311602630615255,4,1.2,1.0,0.91
2.26,nominal_dynamic,2820,211.8988048474416,204.21849739074705,193.06978408813475,1.4755049784697643,4.88190135955815,15.81023605346681,4,1.2,1.0,0.91
2.26,persistent_dro,3,210.5128210199356,208.9280628204346,207.3150252532959,2.861488805975756,7.827567253112878,12.79290691375732,1,0.3,12.0,0.91
2.265,myopic,3168,211.28365238593966,203.04481567382814,189.95609420776367,2.420513748038557,6.605025596618658,18.923925933837893,4,1.2,1.0,0.92
2.265,nominal_dynamic,2820,212.35760115532327,204.62143867492676,193.4576319503784,1.346564978654928,4.56248297691345,15.422388191223149,4,1.2,1.0,0.92
2.265,persistent_dro,3,210.62513486332892,209.0307885169983,207.407991771698,3.0790312706492897,8.212261190414539,13.191241493225107,1,0.3,12.0,0.92
2.27,myopic,3168,211.7452116082246,203.47042037963868,190.343770904541,2.2999702102946724,6.230237960815443,18.53624923706056,4,1.2,1.0,0.9400000000000001
2.27,nominal_dynamic,2820,212.81639746320494,205.03187820434573,193.84547981262207,1.2287843553143232,4.2430645942688345,15.034540328979489,4,1.2,1.0,0.9400000000000001
2.27,persistent_dro,3,210.7374487067222,209.13351421356205,207.5009582901001,3.3077331117970235,8.596955127716162,13.589576072692864,1,0.3,12.0,0.9400000000000001
2.275,myopic,3168,212.20677083050956,203.89602508544922,190.73144760131837,2.1905050352253035,5.870069026947032,18.148572540283197,4,1.2,1.0,0.9450000000000001
2.275,nominal_dynamic,2820,213.2751937710866,205.45238819122315,194.2333276748657,1.1220820946482337,3.9236462116241553,14.646692466735857,4,1.2,1.0,0.9450000000000001
2.275,persistent_dro,3,210.84976255011557,209.23623991012576,207.5939248085022,3.5475133156192737,8.981649065017793,13.987910652160622,1,0.3,12.0,0.9450000000000001
2.28,myopic,3168,212.6683300527945,204.32162979125974,191.1191242980957,2.088501408767456,5.519889373779307,17.760895843505864,4,1.2,1.0,0.9600000000000001
2.28,nominal_dynamic,2820,213.73399007896828,205.87289817810057,194.62117553710937,1.0228413825936666,3.6042278289795044,14.258844604492197,4,1.2,1.0,0.9600000000000001
2.28,persistent_dro,3,210.96207639350888,209.33896560668947,207.6868913269043,3.7947550680530484,9.366343002319452,14.386245231628408,1,0.3,12.0,0.9600000000000001
2.285,myopic,3168,213.12988927507948,204.74723449707034,191.50680099487306,1.993591460633028,5.182974343299866,17.373219146728502,4,1.2,1.0,0.9600000000000001
2.285,nominal_dynamic,2820,214.19278638685,206.29340816497805,195.00902339935303,0.9306943488625167,3.2678409862518345,13.870996742248536,4,1.2,1.0,0.9600000000000001
2.285,persistent_dro,3,211.07439023690222,209.4416913032532,207.7798578453064,4.049090498810267,9.751036939621113,14.784579811096194,1,0.3,12.0,0.9600000000000001
2.29,myopic,3168,213.5914484973644,205.17283920288085,191.8944776916504,1.9054482984421148,4.845407814979558,16.98554244995117,4,1.2,1.0,0.9650000000000001
2.29,nominal_dynamic,2820,214.65158269473164,206.71391815185547,195.3968712615967,0.8453141010748833,2.929327220916764,13.483148880004876,4,1.2,1.0,0.9650000000000001
2.29,persistent_dro,3,211.18670408029556,209.54441699981692,207.8728243637085,4.310192715510974,10.135730876922743,15.18291439056398,1,0.3,12.0,0.9650000000000001
2.295,myopic,3168,214.05300771964937,205.5984439086914,192.28215438842773,1.8236996416019906,4.51810122489929,16.597865753173835,4,1.2,1.0,0.9800000000000001
2.295,nominal_dynamic,2820,215.11037900261329,207.13046569824218,195.78471912384032,0.7663283586380389,2.5908134555816895,13.095301017761244,4,1.2,1.0,0.9800000000000001
2.295,persistent_dro,3,211.2990179236889,209.64714269638066,207.96579088211058,4.577689437562471,10.520424814224402,15.581248970031709,1,0.3,12.0,0.9800000000000001
2.3,myopic,3168,214.5145669419343,206.02404861450194,192.66983108520506,1.7495061550624702,4.19974155426028,16.2101890563965,4,1.2,1.0,0.9800000000000001
2.3,nominal_dynamic,2820,215.56917531049498,207.54438209533689,196.17256698608398,0.6948977865017988,2.252299690246646,12.707453155517584,4,1.2,1.0,0.9800000000000001
2.3,persistent_dro,21,212.85089005279542,209.37850685119628,204.85548782348633,3.413183044201376,7.358748626709015,10.801992225646956,2,0.6,9.0,0.9800000000000001
2.305,myopic,3168,214.9761261642193,206.44747821807863,193.05750778198242,1.6816390589244639,3.8697045993805617,15.82251235961914,4,1.2,1.0,0.9850000000000001
2.305,nominal_dynamic,2928,216.02834578355825,207.95506683349612,196.44574390411378,0.6294194395855048,1.9714609193802417,12.43427623748778,4,1.2,1.0,0.9850000000000001
2.305,persistent_dro,21,213.07645411122638,209.58156377792358,205.04118900299073,3.581311111917353,7.618437309265194,11.071261196136476,2,0.6,9.0,0.9850000000000001
2.31,myopic,3168,215.4376853865042,206.87034763336183,193.44518447875976,1.6198957875100262,3.721882133483897,15.498936614990242,4,1.2,1.0,0.9900000000000001
2.31,nominal_dynamic,2928,216.48796582044633,208.3755351829529,196.83495246887207,0.569615353567898,1.631569895744365,12.109168624877924,4,1.2,1.0,0.9900000000000001
2.31,persistent_dro,21,213.30201816965734,209.78462070465088,205.22689018249514,3.7555630043568713,7.878125991821374,11.340530166625967,2,0.6,9.0,0.9900000000000001
2.315,myopic,3168,215.89924460878916,207.293217048645,193.83286117553712,1.5643519897468399,3.401532859802261,15.208216705322258,4,1.2,1.0,0.9900000000000001
2.315,nominal_dynamic,2928,216.94758585733447,208.8151428604126,197.22416103363037,0.51601074120154,1.3149169111252461,11.81691684722901,4,1.2,1.0,0.9900000000000001
2.315,persistent_dro,138,215.22332426255542,209.28554481506353,201.71044485092162,2.240272335980583,4.371927452087396,7.330633029937758,3,0.8999999999999999,6.0,0.9900000000000001
2.32,myopic,3168,216.36080383107412,207.7160864639282,194.22053787231445,1.5149407415238538,3.0885338211059983,14.917496795654301,4,1.2,1.0,0.9900000000000001
2.32,nominal_dynamic,2928,217.40720589422259,209.2365548324585,197.61336959838866,0.46853867837538465,1.0853945684432922,11.524665069580095,4,1.2,1.0,0.9900000000000001
2.32,persistent_dro,903,217.37851314863747,209.23384864807127,197.8366831207275,0.49723142396050346,1.042640151977566,11.30135154724124,4,1.2,3.0,0.9900000000000001
2.325,myopic,3168,216.82236305335908,208.13895587921144,194.6082145690918,1.4701068782098572,3.0121120452881374,14.626776885986317,4,1.2,1.0,0.9900000000000001
2.325,nominal_dynamic,2928,217.86682593111072,209.64819641113283,198.00257816314698,0.4256440004582187,0.7938229560852075,11.232413291931152,4,1.2,1.0,0.9900000000000001
2.325,persistent_dro,1578,217.85122224417677,209.64699478149416,198.15791015625,0.4412476873921674,0.7552800178527995,11.07708129882812,4,1.2,2.0,0.9900000000000001
2.33,myopic,3168,217.28392227564404,208.56182529449464,194.99589126586915,1.4303867299961543,2.9074125671386732,14.33605697631836,4,1.2,1.0,0.9950000000000001
2.33,nominal_dynamic,2928,218.32644596799884,210.04706199646,198.39178672790527,0.3878630376413466,0.6177785237630191,10.940161514282238,4,1.2,1.0,0.9950000000000001
2.33,persistent_dro,2820,218.32195315778503,210.0460233306885,198.4996541595459,0.39235584785516076,0.5419879531860525,10.832294082641596,4,1.2,1.0,0.9950000000000001
2.335,myopic,3168,217.74548149792898,208.98469470977784,195.38356796264648,1.3953370459285876,2.828352413177503,14.045337066650376,4,1.2,1.0,0.9950000000000001
2.335,nominal_dynamic,2928,218.78606600488695,210.44592758178715,198.78099529266356,0.35475253897060977,0.4585346603393692,10.647909736633295,4,1.2,1.0,0.9950000000000001
2.335,persistent_dro,2820,218.7807494656667,210.44432880401615,198.88750202178954,0.3600690781908738,0.36187319437664256,10.541403007507313,4,1.2,1.0,0.9950000000000001
2.34,myopic,3168,218.2070407202139,209.40756412506101,195.77124465942381,1.3625852117903532,2.795481815338169,13.75461715698242,4,1.2,1.0,1.0
2.34,nominal_dynamic,3117,219.2458219457616,210.8555470275879,199.10934333801268,0.3238039862426635,0.212698435783443,10.416518478393556,4,1.2,1.0,1.0
2.34,persistent_dro,2820,219.23954577354834,210.85571327209473,199.2753498840332,0.3300801584559193,0.187735290527366,10.25051193237303,4,1.2,1.0,1.0
