alpha,policy,mean_profit,p10_profit,mean_regret,p90_regret,maximum_regret,mean_promotion_count,mean_promotion_depth,promotion_DGP_share,median_first_promotion_week
1.2,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.2,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.25,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.25,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.25,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.3,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.3,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.3,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.35,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.35,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.35,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.4,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.4,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.4,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.45,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.45,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.45,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.5,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.5,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
