grid_name,weekly_capacity,alpha,policy,category_value,promotion_count,total_discount_depth,maximum_weekly_promotions,binding_weeks,slot_utilization,active_product_count,active_product_set,supported_promoted_product_share
supported,2,3.2,dynamic,3041.1146595894497,24,11.98,2,12,1.0,7,1600066510|1600066590|1600066610|3800000120|3800000127|3800001520|3800001611,1.0
supported,2,3.2,myopic,3038.1746206007,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0
supported,3,1.2,dynamic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,3,1.2,myopic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,3,1.25,dynamic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,3,1.25,myopic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,3,1.3,dynamic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,3,1.3,myopic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,3,1.35,dynamic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,3,1.35,myopic,1747.0480117797847,0,0.0,0,0,0.0,0,,1.0
supported,3,1.4,dynamic,1747.0915282802578,1,0.09,1,0,0.027777777777777776,1,3800000110,1.0
supported,3,1.4,myopic,1744.291325339158,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0
supported,3,1.45,dynamic,1747.3415645470614,1,0.09,1,0,0.027777777777777776,1,3800000110,1.0
supported,3,1.45,myopic,1745.3140465136762,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0
supported,3,1.5,dynamic,1747.5916008138652,1,0.09,1,0,0.027777777777777776,1,3800000110,1.0
supported,3,1.5,myopic,1746.3367676881944,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0
supported,3,1.55,dynamic,1748.089673927843,3,0.27,1,0,0.08333333333333333,1,3800000110,1.0
supported,3,1.55,myopic,1747.3594888627126,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0
supported,3,1.6,dynamic,1749.0721290976203,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0
supported,3,1.6,myopic,1748.382210037231,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0
supported,3,1.65,dynamic,1751.2036963324538,8,1.81,2,0,0.2222222222222222,2,3800000110|3800000120,1.0
supported,3,1.65,myopic,1749.8131187362262,8,1.56,2,0,0.2222222222222222,2,3800000110|3800000120,1.0
supported,3,1.7,dynamic,1765.5027607011787,8,2.56,2,0,0.2222222222222222,2,3800000110|3800000120,1.0
