grid_name,weekly_capacity,alpha,policy,category_value,promotion_count,total_discount_depth,maximum_weekly_promotions,binding_weeks,slot_utilization,active_product_count,active_product_set,supported_promoted_product_share,decision_horizon,washout_horizon,evaluation_horizon
empirical_w6,2,2.8,dynamic,3363.6483910512716,24,10.559999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.8,myopic,3352.207071044981,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,2.85,dynamic,3422.177026939053,24,10.559999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127,1.0,12,6,18
empirical_w6,2,2.85,myopic,3415.109483863889,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,2.9,dynamic,3480.960837177733,24,10.87,2,12,1.0,7,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,2.9,myopic,3478.011896682798,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,2.95,dynamic,3541.6052300451397,24,11.489999999999998,2,12,1.0,7,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,2.95,myopic,3540.914309501707,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,3.0,dynamic,3603.976304491658,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,3.0,myopic,3603.8167223206156,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,3.05,dynamic,3666.8806213677517,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,3.05,myopic,3666.719135139524,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,3.1,dynamic,3729.784938243846,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,3.1,myopic,3729.6215479584334,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,3.15,dynamic,3793.076572841108,24,11.89,2,12,1.0,7,1600066510|1600066590|1600066610|3800000120|3800000127|3800001520|3800001611,1.0,12,6,18
empirical_w6,2,3.15,myopic,3792.5239607773415,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,2,3.2,dynamic,3857.7764417588714,24,11.98,2,12,1.0,7,1600066510|1600066590|1600066610|3800000120|3800000127|3800001520|3800001611,1.0,12,6,18
empirical_w6,2,3.2,myopic,3855.4263735962504,24,11.799999999999999,2,12,1.0,6,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1.0,12,6,18
empirical_w6,3,1.2,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,3,1.2,myopic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,3,1.25,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,3,1.25,myopic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,3,1.3,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,3,1.3,myopic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,3,1.35,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,3,1.35,myopic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,3,1.4,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,3,1.4,myopic,2578.5366915755235,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0,12,6,18
empirical_w6,3,1.45,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,3,1.45,myopic,2579.5594127500417,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0,12,6,18
empirical_w6,3,1.5,dynamic,2581.9460906982385,0,0.0,0,0,0.0,0,,1.0,12,6,18
empirical_w6,3,1.5,myopic,2580.58213392456,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0,12,6,18
empirical_w6,3,1.55,dynamic,2582.003306468483,1,0.09,1,0,0.027777777777777776,1,3800000110,1.0,12,6,18
empirical_w6,3,1.55,myopic,2581.6048550990786,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0,12,6,18
empirical_w6,3,1.6,dynamic,2582.7745514144863,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0,12,6,18
empirical_w6,3,1.6,myopic,2582.627576273597,4,0.36,1,0,0.1111111111111111,1,3800000110,1.0,12,6,18
empirical_w6,3,1.65,dynamic,2583.905139901318,7,1.2599999999999998,2,0,0.19444444444444445,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,3,1.65,myopic,2583.701569849131,8,1.56,2,0,0.2222222222222222,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,3,1.7,dynamic,2597.5993884916284,8,2.56,2,0,0.2222222222222222,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,3,1.7,myopic,2597.426858880279,8,2.56,2,0,0.2222222222222222,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,3,1.75,dynamic,2613.392357931929,8,2.56,2,0,0.2222222222222222,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,3,1.75,myopic,2613.245493730106,8,2.56,2,0,0.2222222222222222,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,3,1.8,dynamic,2629.1917309455844,8,2.56,2,0,0.2222222222222222,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,3,1.8,myopic,2629.064128579932,8,2.56,2,0,0.2222222222222222,2,3800000110|3800000120,1.0,12,6,18
