alpha,scenario_id,scenario_weight,policy,discounted_profit,oracle_profit,regret,promotion_count,mean_promotion_depth,first_promotion_week,first_discount
1.85,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.85,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.85,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.9,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.9,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.9,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.95,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.95,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.95,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
2.0,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
2.0,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
2.0,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
2.05,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
2.05,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
2.05,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
